date,ip,method,code,time_cost
2025-08-11 02:05:43,127.0.0.1,upload_images,200,0.109
2025-08-11 02:05:44,127.0.0.1,show_storage,200,0.013
2025-08-11 02:06:35,127.0.0.1,show_storage,200,0.024
2025-08-11 02:06:43,127.0.0.1,upload_weights,200,0.182
2025-08-11 02:06:43,127.0.0.1,show_storage,200,0.008
2025-08-11 02:07:31,127.0.0.1,show_storage,200,0.018
2025-08-11 02:10:21,127.0.0.1,show_storage,200,0.452
2025-08-11 02:10:26,127.0.0.1,show_storage,200,0.171
2025-08-11 02:10:28,127.0.0.1,show_storage,200,0.006
2025-08-11 02:10:28,127.0.0.1,show_storage,200,0.024
2025-08-11 02:10:29,127.0.0.1,show_storage,200,0.018
2025-08-11 02:17:35,127.0.0.1,show_storage,200,0.097
2025-08-11 02:20:54,127.0.0.1,show_storage,200,0.02
2025-08-11 02:22:09,127.0.0.1,show_storage,200,0.038
2025-08-11 02:22:15,127.0.0.1,show_storage,200,0.026
2025-08-11 02:22:21,127.0.0.1,show_storage,200,0.05
2025-08-11 02:22:32,127.0.0.1,show_storage,200,0.023
2025-08-11 02:23:14,127.0.0.1,show_storage,200,0.043
2025-08-11 02:23:14,127.0.0.1,show_storage,200,0.129
2025-08-11 02:23:23,127.0.0.1,show_storage,200,0.012
2025-08-11 02:23:31,127.0.0.1,show_storage,200,0.059
2025-08-11 02:25:15,127.0.0.1,show_storage,200,0.066
2025-08-11 18:04:32,127.0.0.1,show_storage,200,0.007
2025-08-11 18:04:43,127.0.0.1,show_image,200,0.006
2025-08-11 18:05:02,127.0.0.1,show_image,200,0.007
2025-08-11 18:05:09,127.0.0.1,show_image,200,0.019
2025-08-11 18:05:25,127.0.0.1,show_image,200,0.021
2025-08-11 18:05:28,127.0.0.1,show_image,200,0.021
2025-08-11 18:05:30,127.0.0.1,show_image,200,0.018
2025-08-11 18:05:50,127.0.0.1,show_image,200,0.021
2025-08-11 18:06:09,127.0.0.1,show_storage,200,0.018
2025-08-11 18:06:14,127.0.0.1,show_storage,200,0.015
2025-08-11 18:07:08,127.0.0.1,show_storage,200,0.008
2025-08-11 18:07:09,127.0.0.1,show_storage,200,0.007
2025-08-11 18:07:37,127.0.0.1,show_storage,200,0.008
2025-08-11 18:07:46,127.0.0.1,show_storage,200,0.013
2025-08-11 18:07:49,127.0.0.1,show_storage,200,0.009
2025-08-11 18:10:13,127.0.0.1,show_storage,200,0.008
2025-08-11 18:10:13,127.0.0.1,show_storage,200,0.028
2025-08-11 18:10:14,127.0.0.1,show_storage,200,0.007
2025-08-11 18:10:21,127.0.0.1,show_storage,200,0.007
2025-08-11 18:10:48,127.0.0.1,show_storage,200,0.019
2025-08-11 18:10:48,127.0.0.1,show_storage,200,0.019
2025-08-11 18:10:50,127.0.0.1,show_storage,200,0.016
2025-08-11 18:12:39,127.0.0.1,show_storage,200,0.018
2025-08-11 18:20:06,127.0.0.1,show_storage,200,0.012
2025-08-11 18:21:02,127.0.0.1,show_storage,200,0.01
2025-08-11 18:21:02,127.0.0.1,show_storage,200,0.009
2025-08-11 18:21:04,127.0.0.1,show_storage,200,0.033
2025-08-11 18:21:04,127.0.0.1,show_storage,200,0.007
2025-08-11 18:21:06,127.0.0.1,show_storage,200,0.009
2025-08-11 18:21:06,127.0.0.1,show_storage,200,0.007
2025-08-11 18:21:27,127.0.0.1,show_storage,200,0.007
2025-08-11 18:21:27,127.0.0.1,show_storage,200,0.025
2025-08-11 18:21:52,127.0.0.1,show_storage,200,0.008
2025-08-11 18:21:52,127.0.0.1,show_storage,200,0.01
2025-08-11 18:21:54,127.0.0.1,show_storage,200,0.008
2025-08-11 18:21:54,127.0.0.1,show_storage,200,0.01
2025-08-11 18:22:07,127.0.0.1,show_storage,200,0.012
2025-08-11 18:22:07,127.0.0.1,show_storage,200,0.043
2025-08-11 18:22:10,127.0.0.1,show_storage,200,0.009
2025-08-11 18:22:10,127.0.0.1,show_storage,200,0.019
2025-08-11 18:22:11,127.0.0.1,show_storage,200,0.012
2025-08-11 18:22:11,127.0.0.1,show_storage,200,0.012
2025-08-11 18:22:17,127.0.0.1,show_storage,200,0.008
2025-08-11 18:22:17,127.0.0.1,show_storage,200,0.035
2025-08-11 18:22:17,127.0.0.1,show_storage,200,0.009
2025-08-11 18:22:17,127.0.0.1,show_storage,200,0.008
2025-08-11 18:22:19,127.0.0.1,show_storage,200,0.008
2025-08-11 18:22:19,127.0.0.1,show_storage,200,0.016
2025-08-11 18:23:03,127.0.0.1,show_storage,200,0.008
2025-08-11 18:23:03,127.0.0.1,show_storage,200,0.013
2025-08-11 18:23:04,127.0.0.1,show_storage,200,0.009
2025-08-11 18:23:04,127.0.0.1,show_storage,200,0.017
2025-08-11 18:23:05,127.0.0.1,show_storage,200,0.008
2025-08-11 18:23:05,127.0.0.1,show_storage,200,0.018
2025-08-11 18:29:54,127.0.0.1,show_storage,200,0.007
2025-08-11 18:30:11,127.0.0.1,show_image,200,0.006
2025-08-11 18:30:13,127.0.0.1,delete_file,200,20.356
2025-08-11 18:30:42,127.0.0.1,show_storage,200,0.014
2025-08-11 18:31:15,127.0.0.1,show_storage,200,0.008
2025-08-11 18:31:15,127.0.0.1,show_storage,200,0.017
2025-08-11 18:31:40,127.0.0.1,show_storage,200,0.017
2025-08-11 18:31:40,127.0.0.1,show_storage,200,0.013
2025-08-11 18:31:42,127.0.0.1,show_storage,200,0.008
2025-08-11 18:31:42,127.0.0.1,show_storage,200,0.032
2025-08-11 18:31:43,127.0.0.1,show_storage,200,0.008
2025-08-11 18:31:43,127.0.0.1,show_storage,200,0.009
2025-08-11 18:31:48,127.0.0.1,show_storage,200,0.007
2025-08-11 18:31:48,127.0.0.1,show_storage,200,0.014
2025-08-11 18:31:51,127.0.0.1,show_storage,200,0.008
2025-08-11 18:31:51,127.0.0.1,show_storage,200,0.032
2025-08-11 18:31:52,127.0.0.1,show_storage,200,0.007
2025-08-11 18:31:52,127.0.0.1,show_storage,200,0.008
